Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
title;rooms;address;price;floor;square;publication_date;link;images
;;;;;;;;
2-комнатная квартира, 46 м?, 3;2;Москва, Юго-Восточный, Люблино, ул. Совхозная, 53К2 ;2 700 руб.  / день;3 ;46 м?;Опубликовано 17 февраля 2021 г.;https://www.gdeetotdom.ru/obj/living/msk/5973576977/;[]
;;;;;;;;
3-комнатная квартира, 66 м?, 8;8 ;Москва, Западный, Дорогомилово, ул. Дорогомиловская Большая, 16 ;3 900 руб.  / день;30 %;3;Опубликовано 16 августа 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/6240255139/;[]
;;;;;;;;
2-комнатная квартира, 45 м?, 1;1 ;Москва, Южный, Зюзино, ул. Азовская, 33к1 ;2 500 руб.  / день;40 %;2;Опубликовано 26 ноября 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/6240254805/;[]
;;;;;;;;
1-комнатная квартира, 38 м?, 4/5 эт.;4 из 5;Москва, Юго-Западный, Коньково, ул. Профсоюзная, 110К2 ;2 000 руб.  / день;40 %;1;Опубликовано 26 ноября 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/6041994427/;[]
;;;;;;;;
1-комнатная квартира, 37 м?, 3;1;Москва, Западный, Кунцево, ул. Бобруйская, 2 ;1 500 руб.  / день;3 ;37 м?;Опубликовано 26 ноября 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5850807665/;[]
;;;;;;;;
1-комнатная квартира, 37 м?, 10;1;Москва, Юго-Западный, Ясенево, ул. Профсоюзная, 105 ;2 000 руб.  / день;10 ;37 м?;Опубликовано 26 ноября 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/5850612939/;[]
;;;;;;;;
1-комнатная квартира, 45 м?;1;Москва, Юго-Западный, Фили-Давыдково, ул. Кастанаевская, 7 ;2 000 руб.  / день;40 %;45 м?;Опубликовано 01 апреля 2021 г.;https://www.gdeetotdom.ru/obj/living/msk/6269361545/;[]
;;;;;;;;
2-комнатная квартира, 47 м?, 4/14 эт.;4 из 14;Москва, Юго-Западный, Теплый Стан, ул. Теплый Стан, 5К4 ;2 500 руб.  / день;40 %;2;Опубликовано 26 ноября 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/6043717619/;[]
;;;;;;;;
1-комнатная квартира, 16 м?, 1/12 эт.;1;Москва, Восточный, Измайлово, ул. Парковая 9-я, 7 ;1 700 руб.  / день;1 из 12;16 м?;Опубликовано 20 марта 2021 г.;https://www.gdeetotdom.ru/obj/living/msk/41032652148/;[]
;;;;;;;;
1-комнатная квартира, 38 м?, 1/9 эт.;1;Москва, Юго-Западный, Теплый Стан, ул. Профсоюзная, 156К1 ;2 000 руб.  / день;1 из 9;38 м?;Опубликовано 10 апреля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/6013837181/;[]
;;;;;;;;
1-комнатная квартира, 40 м?, 4/4 эт.;1;Москва, Центральный, Замоскворечье, пер. Овчинниковский Большой, 20 ;2 000 руб.  / день;4 из 4;40 м?;Опубликовано 26 марта 2021 г.;https://www.gdeetotdom.ru/obj/living/msk/41109988816/;[]
;;;;;;;;
2-комнатная квартира, 39 м?, 2/5 эт.;2 из 5;Москва, Северо-Восточный, Останкинский, ул. Кондратюка, 14 ;2 500 руб.  / день;100 %;2;Опубликовано 19 августа 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/6066259229/;[]
;;;;;;;;
1-комнатная квартира, 35 м?, 3/9 эт.;3 из 9;Москва, Южный, Нагатино-Садовники, наб. Нагатинская, 34 ;2 000 руб.  / день;100 %;1;Опубликовано 19 августа 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/6066259189/;[]
;;;;;;;;
1-комнатная квартира, 38 м?, 6/12 эт.;6 из 12;Москва, Юго-Западный, Бутово Южное, ул. Адмирала Лазарева, 52 ;1 900 руб.  / день;40 %;1;Опубликовано 10 апреля 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/6083035419/;[]
;;;;;;;;
2-комнатная квартира, 45 м?, 1/9 эт.;2;Москва, Северный, Сокол, ул. Алабяна, 3К3 ;2 800 руб.  / день;1 из 9;45 м?;Опубликовано 11 декабря 2017 г.;https://www.gdeetotdom.ru/obj/living/msk/6066259309/;[]
;;;;;;;;
2-комнатная квартира, 45 м?, 5/9 эт.;2;Москва, Северо-Западный, Покровское-Стрешнево, пр. Врачебный, 10 ;3 000 руб.  / день;5 из 9;45 м?;Опубликовано 17 февраля 2018 г.;https://www.gdeetotdom.ru/obj/living/msk/6076899249/;[]
;;;;;;;;
