title,address,price,count_rooms,floor,type_obj,square,publication_date,link,images
"4-комн. квартира, Шаболовка ул, 25к1","Москва, Шаболовка ул, 25к1",200 000 руб.  в месяц,4,3 / 9,квартира,90 м2,"сегодня, 10:00",https://irr.ru/real-estate/rent/4-komnatnaya-kvartira-90-kv-m-7-min-peshkom-ot-metro-shabolovskaya-advert763842352.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/4c/5f/5ab8d750b-640x437-763842352-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/4c/5f/c12b3a6c7-360x439-763842352-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/4c/5f/e6f68c784-360x435-763842352-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/4c/5f/97758fa33-360x436-763842352-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/4c/5f/986cb2f60-640x439-763842352-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/4c/5f/a8e1a85b6-640x435-763842352-orig.jpg']"
"4-комн. квартира, Чонгарский б-р, 5к1","Москва, Чонгарский б-р, 5к1",100 000 руб.  в месяц,4,6 / 9,квартира,80 м2,"сегодня, 10:00",https://irr.ru/real-estate/rent/4-komnatnaya-kvartira-80-kv-m-6-min-peshkom-ot-metro-varshavskaya-advert763842371.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/71/ff/09e496e0b-450x600-763842371-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/71/ff/f2e006dbd-450x600-763842371-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/71/ff/b20364216-604x453-763842371-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/71/ff/6028b8244-600x426-763842371-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/71/ff/c910649db-600x450-763842371-orig.jpg']"
"1-комн. квартира, Барклая ул, 16к4","Москва, Барклая ул, 16к4",36 000 руб.  в месяц,1,2 / 9,квартира,36 м2,"сегодня, 10:00",https://irr.ru/real-estate/rent/1-komnatnaya-kvartira-36-kv-m-4-min-peshkom-ot-metro-bagrationovskaya-advert763842460.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/79/b7/fe1fdca70-800x600-763842460-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/79/b7/55c48c081-240x360-763842460-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/79/b7/548e27888-600x450-763842460-orig.jpg']"
"2-комн. квартира, Калашный пер, 2/10","Москва, Калашный пер, 2/10",80 000 руб.  в месяц,2,7 / 8,квартира,42 м2,"сегодня, 10:00",https://irr.ru/real-estate/rent/2-komnatnaya-kvartira-42-kv-m-3-min-peshkom-ot-metro-arbatskaya-advert763842592.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/f6/b9/c7de22ea5-252x448-763842592-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/f6/b9/be3589851-360x480-763842592-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/f6/b9/ef88ffca4-448x252-763842592-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/f6/b9/d386f3065-604x453-763842592-orig.jpg']"
"2-комн. квартира, Ращупкина ул, 8","Москва, Ращупкина ул, 8",43 000 руб.  в месяц,2,8 / 9,квартира,42 м2,"сегодня, 13:21",https://irr.ru/real-estate/rent/2-komnatnaya-kvartira-42-kv-m-8-min-peshkom-ot-metro-kuncevskaya-advert763842542.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/eb/3c/4345ca372-800x600-763842542-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/eb/3c/9cd25ac06-380x263-763842542-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/eb/3c/b8d1eb68c-380x285-763842542-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/eb/3c/99ec3c7da-480x360-763842542-orig.jpg']"
"4-комн. квартира, Зачатьевский 1-й пер, 13","Москва, Зачатьевский 1-й пер, 13",250 000 руб.  в месяц,4,2 / 6,квартира,80 м2,"сегодня, 10:00",https://irr.ru/real-estate/rent/4-komnatnaya-kvartira-80-kv-m-8-min-peshkom-ot-metro-kropotkinskaya-advert763842363.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/d2/c9/31eb2be0d-600x448-763842363-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/d2/c9/9872cd4a5-600x424-763842363-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/d2/c9/a7eef42ce-602x446-763842363-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/d2/c9/2c1b861d4-337x427-763842363-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/d2/c9/8a80a84ee-604x453-763842363-orig.jpg']"
"3-комн. квартира, Оружейный пер, 25с1А","Москва, Оружейный пер, 25с1А",70 000 руб.  в месяц,3,7 / 9,квартира,65 м2,"сегодня, 10:00",https://irr.ru/real-estate/rent/3-komnatnaya-kvartira-65-kv-m-8-min-peshkom-ot-metro-mayakovskaya-advert763842445.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/89/3b/1b8ebf901-600x401-763842445-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/89/3b/ff786365a-450x600-763842445-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/89/3b/64fc21458-604x401-763842445-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/89/3b/2571728a7-600x450-763842445-orig.jpg']"
"4-комн. квартира, Профсоюзная ул, 152к3","Москва, Профсоюзная ул, 152к3",70 000 руб.  в месяц,4,7 / 9,квартира,90 м2,"сегодня, 10:00",https://irr.ru/real-estate/rent/4-komnatnaya-kvartira-90-kv-m-8-min-peshkom-ot-metro-teplyy-stan-advert763842510.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/04/ca/c55473a34-640x319-763842510-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/04/ca/90dc90c8a-640x320-763842510-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/04/ca/1b6fa618f-640x320-763842510-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/04/ca/db5bf3977-270x437-763842510-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/04/ca/5545f2d5a-640x316-763842510-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/04/ca/54f985e56-640x318-763842510-orig.jpg']"
"3-комн. квартира, Нахимовский пр-кт, 48","Москва, Нахимовский пр-кт, 48",75 000 руб.  в месяц,3,3 / 8,квартира,80 м2,"сегодня, 10:00",https://irr.ru/real-estate/rent/3-komnatnaya-kvartira-80-kv-m-5-min-peshkom-ot-metro-profsoyuznaya-advert763842464.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/b3/59/35626183a-640x442-763842464-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/b3/59/35a1439f0-360x442-763842464-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/b3/59/a7b12d705-360x441-763842464-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/b3/59/7784da0c9-640x438-763842464-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/b3/59/457b92d57-360x442-763842464-orig.jpg']"
"4-комн. квартира, Нахимовский пр-кт, 48","Москва, Нахимовский пр-кт, 48",140 000 руб.  в месяц,4,6 / 8,квартира,90 м2,"сегодня, 10:00",https://irr.ru/real-estate/rent/4-komnatnaya-kvartira-90-kv-m-5-min-peshkom-ot-metro-profsoyuznaya-advert763842476.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/bf/82/aa98fd23b-640x480-763842476-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/bf/82/f440f0cc6-336x448-763842476-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/bf/82/233fa7498-380x285-763842476-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/bf/82/f98ef7bf5-380x285-763842476-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/bf/82/4c7680e21-640x480-763842476-orig.jpg']"
"2-комн. квартира, Никитская Б. ул, 22/2","Москва, Никитская Б. ул, 22/2",80 000 руб.  в месяц,2,3 / 6,квартира,42 м2,"сегодня, 10:00",https://irr.ru/real-estate/rent/2-komnatnaya-kvartira-42-kv-m-6-min-peshkom-ot-metro-arbatskaya-advert763842558.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/f2/f3/a1e18c3ce-800x600-763842558-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/f2/f3/f2454676c-800x600-763842558-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/f2/f3/7c9b01bfa-800x600-763842558-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/f2/f3/9730cfa72-800x600-763842558-orig.jpg']"
"1-комн. квартира, Штурвальная ул, 3с2","Москва, Штурвальная ул, 3с2",36 000 руб.  в месяц,1,6 / 9,квартира,38 м2,"сегодня, 10:00",https://irr.ru/real-estate/rent/1-komnatnaya-kvartira-38-kv-m-8-min-peshkom-ot-metro-shodnenskaya-advert763842560.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/ae/95/5dc7a0636-380x285-763842560-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/ae/95/f7aba5fb3-380x285-763842560-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/ae/95/aeb052f89-480x360-763842560-orig.jpg']"
"3-комн. квартира, Кировоградская ул, 28к2","Москва, Кировоградская ул, 28к2",45 000 руб.  в месяц,3,5 / 9,квартира,65 м2,"сегодня, 10:00",https://irr.ru/real-estate/rent/3-komnatnaya-kvartira-65-kv-m-8-min-peshkom-ot-metro-prazhskaya-advert763842611.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/9f/ca/4c3c4f02a-604x453-763842611-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/9f/ca/2ac1c7939-604x453-763842611-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/9f/ca/a09321598-604x453-763842611-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/9f/ca/18595479f-600x417-763842611-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/9f/ca/88669bc06-450x600-763842611-orig.jpg']"
