title,address,price,count_rooms,floor,type_obj,square,publication_date,link,images
"Сдаю посуточно квартиру, 98 м², Москва, проспект Кутузовский, 30 "," г. Москва Дорогомилово пр-кт Кутузовский
30",4 000 ₽ в сутки,3,5/11,квартира,98 м²,28 ноября 2020,https://move.ru/objects/moskva_prospekt_kutuzovskiy_d_30_6848107716/,"['https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e79960b.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e753857.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e779f86.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e780ad5.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e7869bb.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e78c934.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e79312a.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e7a0ddb.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e7a6f8e.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e7ad58f.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e7b3981.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e7ba2ea.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e7c1392.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e7c7a17.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e7cdd24.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e7d40b0.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e7da7ba.jpeg']"
"Сдается посуточно квартира, 70 м², Москва, улица Космонавтов, 4"," г. Москва, ул. Космонавтов, Дом 4",2 400 ₽ в сутки,2,5/9,квартира,70 м²,27 января,https://move.ru/objects/moskva_ulica_kosmonavtov_d_4_6850214358/,"['https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e19e5379.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e199ff99.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e19d6f8e.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e19dbf03.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e19ea9a4.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e19efcac.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e1a011aa.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e1a062ed.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e1a0bfe8.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e1a1141f.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e1a16473.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e1a1b383.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e1a20152.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e1a28b33.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e1a2da6e.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e1a337f0.jpeg']"
"Сдаем посуточно квартиру, 45 м², Москва, улица Кастанаевская, 7"," г. Москва, ул. Кастанаевская, Дом 7",2 500 ₽ в сутки,1,7/12,квартира,45 м²,24 февраля,https://move.ru/objects/moskva_ulica_kastanaevskaya_d_7_6851439084/,"['https://static-i6.move.ru/images/items/1000759670/6851439084/800x600/nd_6036b75433d0f.jpeg', 'https://static-i6.move.ru/images/items/1000759670/6851439084/800x600/nd_6036b75446221.jpeg', 'https://static-i6.move.ru/images/items/1000759670/6851439084/800x600/nd_6036b754530ba.jpeg', 'https://static-i6.move.ru/images/items/1000759670/6851439084/800x600/nd_6036b75461bc4.jpeg', 'https://static-i6.move.ru/images/items/1000759670/6851439084/800x600/nd_6036b7546ff56.jpeg', 'https://static-i6.move.ru/images/items/1000759670/6851439084/800x600/nd_6036b754937ae.jpeg', 'https://static-i6.move.ru/images/items/1000759670/6851439084/800x600/nd_6036b754a360e.jpeg', 'https://static-i6.move.ru/images/items/1000759670/6851439084/800x600/nd_6036b754b37d8.jpeg', 'https://static-i6.move.ru/images/items/1000759670/6851439084/800x600/nd_6036b754d2b67.jpeg', 'https://static-i6.move.ru/images/items/1000759670/6851439084/800x600/nd_6036b754e19ab.jpeg', 'https://static-i6.move.ru/images/items/1000759670/6851439084/800x600/nd_6036b754ef7ea.jpeg', 'https://static-i6.move.ru/images/items/1000759670/6851439084/800x600/nd_6036b7550b257.jpeg', 'https://static-i6.move.ru/images/items/1000759670/6851439084/800x600/nd_6036b7551a422.jpeg', 'https://static-i6.move.ru/images/items/1000759670/6851439084/800x600/nd_6036b7552c225.jpeg', 'https://static-i6.move.ru/images/items/1000759670/6851439084/800x600/nd_6036b7553bc52.jpeg']"
"Сдам посуточно студию, 26 м², Москва, пригородное шоссе, 3"," г. Москва
пригородное шоссе 3",1 800 ₽ в сутки,1,15/17,студия,26 м²,21 января,https://move.ru/objects/moskva_prigorodnoe_shosse_d_3_6849931512/,"['https://static-i6.move.ru/images/items/1000750998/6849931512/800x600/nd_60095e8e3c15a.jpeg', 'https://static-i6.move.ru/images/items/1000750998/6849931512/800x600/nd_60095e8e4924b.jpeg', 'https://static-i6.move.ru/images/items/1000750998/6849931512/800x600/nd_60095e8e50576.jpeg', 'https://static-i6.move.ru/images/items/1000750998/6849931512/800x600/nd_60095e8e56cee.jpeg', 'https://static-i6.move.ru/images/items/1000750998/6849931512/800x600/nd_60095e8e5f247.jpeg', 'https://static-i6.move.ru/images/items/1000750998/6849931512/800x600/nd_60095e8e66268.jpeg', 'https://static-i6.move.ru/images/items/1000750998/6849931512/800x600/nd_60095e8e6c5ae.jpeg', 'https://static-i6.move.ru/images/items/1000750998/6849931512/800x600/nd_60095e8e730be.jpeg']"
"Сдам посуточно квартиру, 36 м², Москва, бульвар Волжский, 45"," г. Москва, б-р. Волжский, Дом 45",2 300 ₽ в сутки,1,2/12,квартира,36 м²,9 ноября 2015,https://move.ru/objects/moskva_bulvar_voljskiy_d_45_2262473442/,"['https://static-i6.move.ru/images/items/1000281158/2262473442/800x600/nd_5a0de1a17c44a.jpeg', 'https://static-i6.move.ru/images/items/1000281158/2262473442/800x600/nd_5a0de1ab617f8.jpeg', 'https://static-i6.move.ru/images/items/1000281158/2262473442/800x600/nd_5a0de1b723c57.jpeg', 'https://static-i6.move.ru/images/items/1000281158/2262473442/800x600/nd_5a0de1bf810a9.jpeg', 'https://static-i6.move.ru/images/items/1000281158/2262473442/800x600/nd_5a0de1c73127a.jpeg']"
"Сдаем посуточно квартиру, 120 м², Москва, улица Тверская, 15"," г. Москва Тверской ул Тверская
15",4 500 ₽ в сутки,3,4/7,квартира,120 м²,4 февраля,https://move.ru/objects/moskva_ulica_tverskaya_d_15_6850559769/,"['https://static-i6.move.ru/images/items/1000755396/6850559769/800x600/nd_601babf8158b8.jpeg', 'https://static-i6.move.ru/images/items/1000755396/6850559769/800x600/nd_601babf821801.jpeg', 'https://static-i6.move.ru/images/items/1000755396/6850559769/800x600/nd_601babf827ab2.jpeg', 'https://static-i6.move.ru/images/items/1000755396/6850559769/800x600/nd_601bac0338423.jpeg']"
"Аренда квартиры на сутки, 43.5 м², Москва, улица Квесисская 2-я, 15"," г. Москва, ул. Квесисская 2-я, Дом 15",3 500 ₽ в сутки,4/5,квартира,вторичка,28 м²,сегодня в 09:40,https://move.ru/objects/moskva_ul_kvesisskaya_2-ya_d_15_2263632510/,"['https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d412e3c067.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d413c52d5b.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d413e4480e.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d413fb1768.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d41416ee52.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d4143463dd.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d41454d108.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d414786909.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d41490ea12.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d414a97ff5.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d414c329a0.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d414ddfa28.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d414f7c1a5.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d415117cb7.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d4152ac438.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d4154329ce.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d41559d917.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d415756bb1.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d41591e3ac.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d415abc7b3.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d415c265de.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d41c0be952.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d41c28aacc.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d41c4083b3.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d41c581095.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d41c76f6d8.jpeg', 'https://static-i6.move.ru/images/items/1000238240/2263632510/800x600/nd_576d41c952d7a.jpeg']"
"Сдаем посуточно квартиру, 46 м², Москва, Большая Филевкая, 59к2"," г. Москва Фили-Давыдково
Большая Филевкая 59к2",2 500 ₽ в сутки,2,2/5,квартира,46 м²,16 сентября 2017,https://move.ru/objects/moskva_bolshaya_filevkaya_d_59k2_6798606844/,"['https://static-i6.move.ru/images/items/1000395144/6798606844/800x600/nd_5fe188f7b2880.jpeg', 'https://static-i6.move.ru/images/items/1000395144/6798606844/800x600/nd_59f58518bfbe2.jpeg', 'https://static-i6.move.ru/images/items/1000395144/6798606844/800x600/nd_59f585227571b.jpeg', 'https://static-i6.move.ru/images/items/1000395144/6798606844/800x600/nd_59f5852868896.jpeg', 'https://static-i6.move.ru/images/items/1000395144/6798606844/800x600/nd_59f5853467d2b.jpeg', 'https://static-i6.move.ru/images/items/1000395144/6798606844/800x600/nd_59f5853cc0fe1.jpeg', 'https://static-i6.move.ru/images/items/1000395144/6798606844/800x600/nd_59f58542b7d1c.jpeg', 'https://static-i6.move.ru/images/items/1000395144/6798606844/800x600/nd_59f5854d26b15.jpeg', 'https://static-i6.move.ru/images/items/1000395144/6798606844/800x600/nd_5fe1890a5a6f5.jpeg', 'https://static-i6.move.ru/images/items/1000395144/6798606844/800x600/nd_5fe18917058f1.jpeg', 'https://static-i6.move.ru/images/items/1000395144/6798606844/800x600/nd_5fe18921b106b.jpeg', 'https://static-i6.move.ru/images/items/1000395144/6798606844/800x600/nd_5fe18931f28ee.jpeg']"
"Сдаю посуточно квартиру, 98 м², Москва, проспект Кутузовский, 30"," г. Москва Дорогомилово пр-кт Кутузовский
30",4 000 ₽ в сутки,3,5/11,квартира,98 м²,28 ноября 2020,https://move.ru/objects/moskva_prospekt_kutuzovskiy_d_30_6848107716/,"['https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e79960b.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e753857.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e779f86.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e780ad5.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e7869bb.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e78c934.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e79312a.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e7a0ddb.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e7a6f8e.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e7ad58f.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e7b3981.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e7ba2ea.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e7c1392.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e7c7a17.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e7cdd24.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e7d40b0.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6848107716/800x600/nd_5fc2a0e7da7ba.jpeg']"
"Сдается посуточно квартира, 70 м², Москва, улица Космонавтов, 4"," г. Москва, ул. Космонавтов, Дом 4",2 400 ₽ в сутки,2,5/9,квартира,70 м²,27 января,https://move.ru/objects/moskva_ulica_kosmonavtov_d_4_6850214358/,"['https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e19e5379.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e199ff99.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e19d6f8e.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e19dbf03.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e19ea9a4.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e19efcac.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e1a011aa.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e1a062ed.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e1a0bfe8.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e1a1141f.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e1a16473.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e1a1b383.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e1a20152.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e1a28b33.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e1a2da6e.jpeg', 'https://static-i6.move.ru/images/items/1000741150/6850214358/800x600/nd_60112e1a337f0.jpeg']"
